sequence,Kingdom,Phylum,Class,Order,Family,Genus_water
H41-bin072,Bacteria,Spirochaetota,Leptospirae,Turneriellales,Turneriellaceae,Turneriella
H41-bin073_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,UBA1550
H41-bin074,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,XYD1-FULL-46-19,21-14-all-37-9
H41-bin075_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,
H41-bin076_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,GWA2-47-10b
H41-bin077_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,1-14-0-10-45-20
H41-bin078_1,Bacteria,Patescibacteria,ABY1,SG8-24,2-12-FULL-60-25,21-14-all-47-17
H41-bin079,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H41-bin080,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H41-bin081,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,1-14-0-10-45-20
H41-bin082_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H41-bin083_1,Bacteria,Patescibacteria,ABY1,SG8-24,2-12-FULL-57-11,
H41-bin084_1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,GWA2-66-18
H41-bin085,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H41-bin086,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H41-bin087_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin088_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,
H41-bin089_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H41-bin090_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,GWA2-47-10b
H41-bin091_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H41-bin092_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,IGHO2-01-FULL-4-A,2-01-FULL-44-17
H41-bin093_1,Bacteria,Elusimicrobiota,Elusimicrobia,,,
H41-bin094_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H41-bin095_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,MEYI01
H41-bin095_2,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,MEYI01
H41-bin096,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,
H41-bin097_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,,
H41-bin098,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA12079,
H41-bin099_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,
H41-bin100_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H41-bin101_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9934,UBA11707
H41-bin102_1,Bacteria,Patescibacteria,WWE3,UBA101185,2-01-FULL-41-18,
H41-bin103_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
H41-bin104_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H41-bin105,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17_A,UBA10092,UBA10092
H41-bin106_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H41-bin107,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H41-bin108_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,2-01-FULL-41-26
H41-bin109_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H41-bin110_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H41-bin111_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H41-bin112_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin113_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,
H41-bin114_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,,
H41-bin115_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H41-bin116_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H41-bin117_1,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,
H41-bin118_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,2-01-FULL-46-14-A
H41-bin119,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,GW2011-AR20
H41-bin120,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17
H41-bin121_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin122_1,Bacteria,Desulfuromonadota,,,,
H41-bin123_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,
H41-bin124_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,RBG-13-33-26
H41-bin125_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,
H41-bin126_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,
H41-bin127_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,UBA927
H41-bin128_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,
H41-bin129_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H41-bin130_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,
H41-bin131_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,MEYI01
H41-bin132_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H41-bin133,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17_A,,
H41-bin134_1,Bacteria,Patescibacteria,Microgenomatia,Curtissbacterales,GWA2-41-24,
H41-bin135_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,
H41-bin136_1,Bacteria,Patescibacteria,Microgenomatia,Curtissbacterales,GWA2-41-24,
H41-bin137_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,GWC2-45-19
H41-bin138_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,
H41-bin139_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,1-14-0-10-45-20
H41-bin140_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,PALSA-1337
H41-bin141_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H41-bin142_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H41-bin143_1,Bacteria,Patescibacteria,ABY1,UBA1544,,
H41-bin144_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,
H41-bin145_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA10212,UBA6824
H41-bin146,Archaea,Iainarchaeota,Iainarchaeia,,,
H41-bin147_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,PALSA-1337
H41-bin148_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,GWA2-37-8,2-02-FULL-45-10
H41-bin148_2,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,GWA2-37-8,2-02-FULL-45-10
H41-bin149_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,MFJZ01
H41-bin150_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H41-bin151_1,Bacteria,Patescibacteria,ABY1,UBA1558,2-01-FULL-52-15,
H41-bin152_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA10105,
H41-bin153_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,
H41-bin154_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H41-bin155_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,1-14-0-10-45-20
H41-bin156_1,Bacteria,Patescibacteria,Paceibacteria_A,Moranbacterales,UBA2206,UM-FILTER-42-9
H41-bin157_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H41-bin158_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,
H41-bin159_1,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,
H41-bin159_2,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,
H41-bin160_1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,GWA2-66-18
H41-bin161_1,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,
H41-bin162,Bacteria,Patescibacteria,UBA1384,2-12-FULL-50-11,,
H41-bin163,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,CV81
H41-bin164_1,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio_A
H41-bin165_1,Bacteria,Cyanobacteria,Sericytochromatia,,,
H41-bin166_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,UBA1936
H41-bin168_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H41-bin169,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H41-bin170_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H41-bin171,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H41-bin172_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,Sulfuricaulis
H41-bin173_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H41-bin174_1,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619
H41-bin175_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,MEYI01
H41-bin176_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H41-bin177_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,
H41-bin178_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9934,UBA11707
H41-bin179_1,Bacteria,Patescibacteria,ABY1,SG8-24,,
H41-bin180_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9934,UBA11707
H41-bin181_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,UBA1550
H41-bin182_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9934,UBA11707
H41-bin183_1,Bacteria,Proteobacteria,Alphaproteobacteria,UBA3830,,
H41-bin184_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H41-bin185_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H41-bin186_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H41-bin187,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H41-bin188_1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,
H41-bin189_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
H41-bin190_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H41-bin191_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,RBG-16-58-11,RBG-16-58-11
H41-bin193_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,
H41-bin194_1,Bacteria,Eisenbacteria,RBG-16-71-46,SZUA-252,SZUA-252,SZUA-252
H41-bin195_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H41-bin196_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,2-12-FULL-41-12,2-12-FULL-41-12
H41-bin197_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H41-bin198_1,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,RBG-16-64-32,
H41-bin199_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR15,GW2011-AR15
H41-bin200_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H41-bin201_1,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,
H41-bin202_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,LOWO2-01-FULL-3,2-01-FULL-39-12
H41-bin203_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,UBA1550
H41-bin204_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,
H41-bin205_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,
H41-bin206_2,Bacteria,Patescibacteria,ABY1,SG8-24,UBA11717,
H41-bin207,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,UBA1573
H41-bin208_1,Bacteria,Patescibacteria,ABY1,SG8-24,SG8-24,
H41-bin209_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA922,
H41-bin210_1,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,,
H41-bin211_1,Bacteria,Patescibacteria,ABY1,UBA2591,UBA4787,4787
H41-bin212_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans
H41-bin213_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231
H41-bin214_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H41-bin215_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H41-bin216_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
H41-bin217_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,02-FULL-45-10c,
H41-bin218_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H41-bin219,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,UBA12499
H41-bin220_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H41-bin222_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,
H41-bin223_1,Bacteria,Planctomycetota,Brocadiae,,,
H41-bin224_1,Bacteria,Fibrobacterota,Fibrobacteria,UBA5070,UBA5070,UBA5070
H41-bin225_1,Bacteria,Patescibacteria,CPR2,UBA1875,,
H41-bin227_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H41-bin228_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,2-02-FULL-44-35
H41-bin229_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H41-bin230,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H41-bin231,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H41-bin232_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H41-bin233,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H41-bin234_1,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,
H41-bin235_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H41-bin236_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,UBA9983
H41-bin237_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,SZUA-320
H41-bin238_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,GWA1-40-21,GWA1-40-21
H41-bin239_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin240_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR17,UBA9640
H41-bin241_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H41-bin241_2,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H41-bin242_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,UBA1942
H41-bin244_1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,
H41-bin245_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Scalinduaceae,Scalindua
H41-bin246_1,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA9959
H41-bin247_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,
H41-bin248_1,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,
H41-bin249_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA10003,
H41-bin250_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H41-bin251_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,2-02-FULL-50-9b,
H41-bin252_1,Bacteria,Planctomycetota,Brocadiae,MHYJ01,,
H41-bin253_1,Bacteria,Patescibacteria,UBA1384,2-12-FULL-50-11,,
H41-bin254_1,Bacteria,Patescibacteria,ABY1,SG8-24,,
H41-bin255_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,UBA12463,
H41-bin256_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,,
H41-bin257_1,Bacteria,Patescibacteria,Doudnabacteria,UBA920,,
H41-bin258_1,Bacteria,Proteobacteria,Alphaproteobacteria,,,
H41-bin260_1,Bacteria,Chloroflexota_A,Ellin6529,CSP1-4,CSP1-4,
H41-bin261_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,21-14-all-36-13,
H41-bin262_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H41-bin263_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H41-bin264_1,Bacteria,GWC2-55-46,GWC2-55-46,,,
H41-bin265_1,Bacteria,Patescibacteria,ABY1,SG8-24,2-12-FULL-60-25,SZUA-46
H41-bin266_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,LOWO2-01-FULL-3,2-01-FULL-39-12
H41-bin267_1,Bacteria,Patescibacteria,WWE3,PEYW01,,
H41-bin268_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H41-bin269_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H41-bin270_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H41-bin271_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H41-bin272_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,UM-FILTER-39-64
H41-bin273,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H41-bin274_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A
H41-bin275_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,SZUA-320
H41-bin276,Bacteria,Eisenbacteria,RBG-16-71-46,SZUA-252,SZUA-252,SZUA-252
H41-bin277_1,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,
H41-bin278_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H41-bin279_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,GWC2-55-46,
H41-bin280_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,
H41-bin281_1,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27
H41-bin282,Bacteria,Bacteroidota,Bacteroidia,AKYH767,Palsa-948,Palsa-948
H41-bin283_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9934,UBA11707
H41-bin284_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,MEYI01
H41-bin285_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,2-02-FULL-48-14,
H41-bin286_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,GWA2-37-8,2-02-FULL-45-10
H41-bin287_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9568,
H43-bin001_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,UBA12026
H43-bin002,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA10197,
H43-bin003_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H43-bin004_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,,
H43-bin005,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H43-bin006_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H43-bin007_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H43-bin008_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H43-bin009_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,GWA2-47-10b
H43-bin010_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,GCA-2686365
H43-bin011_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,2-01-FULL-56-20
H43-bin012_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H43-bin013,Bacteria,Patescibacteria,ABY1,Buchananbacterales,2-01-FULL-39-33,
H43-bin014_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,
H43-bin015_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H43-bin016_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,2-12-FULL-40-12,
H43-bin017_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H43-bin018_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,
H43-bin019_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,WO2-35-19
H43-bin020,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,ARS49,
H43-bin021_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H43-bin022_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H43-bin023,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,GWA1-48-11
H43-bin024_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA8515
H43-bin025_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,GWA1-54-10
H43-bin026_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,IGHO2-01-FULL-4-A,
H43-bin027_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,RBG-13-46-13
H43-bin028_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,,
H43-bin029_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H43-bin030_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H43-bin031,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H43-bin032_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H43-bin033_1,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,UBA11713,UBA11713
H43-bin034_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,
H43-bin035_1,Archaea,Iainarchaeota,Iainarchaeia,,,
H43-bin036_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H43-bin037_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H43-bin038_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,UBA12049
H43-bin039_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H43-bin040_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,C7867-002
H43-bin041_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H43-bin042,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,PFDC01,
H43-bin043_1,Bacteria,Patescibacteria,UBA1384,2-12-FULL-50-11,2-12-FULL-50-11,
H43-bin044_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H43-bin045_1,Bacteria,Patescibacteria,Doudnabacteria,UBA920,2-01-FULL-50-11,
H43-bin046_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H43-bin047_1,Bacteria,Patescibacteria,Paceibacteria_A,Moranbacterales,UBA1568,UBA1568
H43-bin048_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,
H43-bin049_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
H43-bin050_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,UBA6065
H43-bin051_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H43-bin052_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,2-02-FULL-43-13,2-02-FULL-43-13
H43-bin053_1,Bacteria,Patescibacteria,ABY1,Buchananbacterales,2-01-FULL-39-33,
H43-bin054_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H43-bin055_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H43-bin056_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,WO2-35-19
H43-bin057,Bacteria,Patescibacteria,Paceibacteria,Portnoybacterales,GWB1-42-6,GWB1-42-6
